"Outrun",0,255,255,3,148,252,3,65,252,0,0,255,85,0,255,119,3,252,186,3,252,222,25,255,252,3,165
"Outrun2",80,141,184,51,105,153,120,65,159,164,41,145,205,80,171,236,117,190,249,172,93,251,206,136,252,236,176
"Outrun3",212,71,93,190,104,124,161,114,165,216,128,226,172,144,255,110,90,174,50,100,191,126,180,201,121,251,247
"Pink-Teals",187,0,255,203,0,255,220,0,255,238,0,255,255,0,255,0,246,250,0,221,250,0,200,250,0,175,250
"Teal-Pinks",0,167,250,0,187,250,0,208,250,0,233,250,0,250,246,247,0,255,229,0,255,211,0,255,195,0,255
"PeachGrape",242,168,121,242,168,121,242,168,138,242,168,155,242,168,189,242,168,223,242,168,240,240,168,255,240,168,255
"Flowers",242,168,189,251,18,86,223,12,76,252,154,26,242,214,69,255,255,87,188,238,104,177,255,174,128,227,146
"Tropical",254,117,81,249,174,146,249,198,42,253,217,51,169,254,81,43,243,130,33,164,185,48,231,200,52,252,237
"ForestandSky",0,255,108,0,255,0,0,255,33,0,255,68,0,255,188,0,255,215,0,188,255,0,138,255,0,68,255
"Christmas",255,30,20,246,39,20,255,33,40,255,217,31,35,255,20,40,255,25,45,255,30,45,45,249,255,254,237
"Pinks",187,0,255,195,0,255,203,0,255,211,0,255,220,0,255,229,0,255,238,0,255,247,0,255,255,0,255
"IronSea",0,255,70,0,255,81,0,255,92,0,255,103,0,255,114,0,255,125,0,255,136,0,255,147,0,255,158
"Teals",0,167,250,0,175,250,0,187,250,0,200,250,0,208,250,0,221,250,0,233,250,0,246,250,0,250,246
"Purple",55,26,148,77,34,178,94,48,235,85,0,255,94,48,235,103,68,254,119,33,252,134,79,254,134,79,254
"Valentine",255,0,170,255,0,160,255,0,150,255,0,140,255,0,130,255,0,120,255,0,110,255,0,100,255,0,90
"Ice",52,61,94,48,63,92,68,107,180,69,104,188,122,154,225,120,158,226,186,205,228,184,207,231,180,209,239
"Fire",155,1,0,235,22,1,255,55,2,255,88,3,255,118,2,254,154,1,255,206,3,255,216,3,255,232,7
